,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
294,7/30/2020 13:27,Facebook,1576,2.0,0.0012690355329949238,82777273087_10158545154413088
295,1/28/2020 9:40,Facebook,1968,12.0,0.006097560975609756,82777273087_10157951304248088
296,12/28/2020 14:00,Facebook,1787,30.0,0.016787912702853944,82777273087_3546837868716668
297,12/6/2020 7:52,Facebook,2226,11.0,0.004941599281221923,82777273087_10158855190453088
298,11/22/2020 7:30,Facebook,1698,9.0,0.00530035335689046,82777273087_10158824036138088
300,4/18/2020 15:17,Facebook,2215,7.0,0.003160270880361174,82777273087_10158220300443088
301,4/3/2020 16:51,Facebook,1954,4.0,0.0020470829068577278,82777273087_10158166993568088
303,12/9/2020 13:35,Facebook,1419,7.0,0.004933051444679351,82777273087_10158862166293088
306,12/13/2020 7:33,Facebook,1666,8.0,0.004801920768307323,82777273087_10158870941148088
307,1/24/2020 15:55,Facebook,1628,29.0,0.017813267813267815,82777273087_10157939962873088
308,11/13/2020 15:33,Facebook,1663,5.0,0.003006614552014432,82777273087_10158803862728088
312,11/22/2020 19:03,Facebook,1645,9.0,0.00547112462006079,82777273087_10158825234813088
315,12/4/2020 15:42,Facebook,2122,12.0,0.005655042412818096,82777273087_10158850910413088
319,3/17/2020 11:17,Facebook,1862,4.0,0.0021482277121374865,82777273087_10158101355953088
320,5/3/2020 10:45,Facebook,2109,6.0,0.002844950213371266,82777273087_10158277253448088
323,5/6/2020 16:43,Facebook,1730,6.0,0.003468208092485549,82777273087_10158288740608088
326,3/19/2020 10:55,Facebook,1838,6.0,0.003264417845484222,82777273087_10158108858668088
328,5/19/2020 19:40,Facebook,1959,8.0,0.00408371618172537,82777273087_10158330703258088
330,11/29/2020 7:59,Facebook,1709,4.0,0.0023405500292568754,82777273087_10158838876858088
331,7/18/2020 10:33,Facebook,5382,62.0,0.011519881085098476,82777273087_10158512513708088
335,12/3/2020 8:00,Facebook,1334,4.0,0.0029985007496251873,82777273087_10158847485748088
337,10/23/2020 15:40,Facebook,1091,6.0,0.005499541704857928,82777273087_10158754185103088
344,5/18/2020 15:52,Facebook,1920,5.0,0.0026041666666666665,82777273087_10158326980203088
345,7/8/2020 11:06,Facebook,1316,4.0,0.00303951367781155,82777273087_10158485591483088
348,4/19/2020 8:43,Facebook,2259,7.0,0.003098716246126605,82777273087_10158223138003088
350,3/10/2020 16:40,Facebook,1771,3.0,0.0016939582156973462,82777273087_10158080009153088
351,9/16/2020 17:16,Facebook,2006,9.0,0.00448654037886341,82777273087_10158666792228088
352,6/22/2020 11:22,Facebook,2230,21.0,0.009417040358744395,82777273087_10158434354488088
353,8/11/2020 10:08,Facebook,1999,12.0,0.006003001500750375,82777273087_10158575905628088
356,10/24/2020 21:45,Facebook,1282,6.0,0.0046801872074883,82777273087_10158757399308088
362,7/27/2020 11:22,Facebook,1488,6.0,0.004032258064516129,82777273087_10158536652153088
363,10/30/2020 15:48,Facebook,1029,7.0,0.006802721088435374,82777273087_10158770749498088
366,10/14/2020 8:08,Facebook,1476,8.0,0.005420054200542005,82777273087_10158732817258088
367,11/11/2020 18:09,Facebook,1926,8.0,0.004153686396677051,82777273087_10158799727353088
374,2/3/2020 10:13,Facebook,3361,34.0,0.010116036893781613,82777273087_10157973615628088
376,12/10/2020 17:19,Facebook,1666,9.0,0.005402160864345739,82777273087_10158864964058088
377,4/3/2020 10:44,Facebook,1667,5.0,0.002999400119976005,82777273087_10158165959168088
379,7/24/2020 14:03,Facebook,1660,8.0,0.004819277108433735,82777273087_10158528963553088
380,2/17/2020 13:51,Facebook,3611,39.0,0.010800332317917475,82777273087_10158015856248088
383,6/12/2020 17:29,Facebook,2427,10.0,0.004120313143798929,82777273087_10158404978448088
384,3/2/2020 18:50,Facebook,4150,68.0,0.0163855421686747,82777273087_10158057311098088
385,9/4/2020 15:19,Facebook,1757,8.0,0.004553215708594195,82777273087_10158635792863088
387,3/6/2020 9:51,Facebook,1756,6.0,0.003416856492027335,82777273087_10158067330678088
390,6/17/2020 16:49,Facebook,2181,6.0,0.002751031636863824,82777273087_10158419681093088
392,5/29/2020 17:07,Facebook,2173,9.0,0.0041417395306028535,82777273087_10158361664243088
398,5/4/2020 7:31,Facebook,1617,6.0,0.0037105751391465678,82777273087_10158280168963088
400,12/24/2020 10:55,Facebook,1506,9.0,0.00597609561752988,82777273087_10158896430188088
401,10/23/2020 15:42,Facebook,1394,5.0,0.003586800573888092,82777273087_10158754188783088
405,7/10/2020 17:03,Facebook,2345,13.0,0.005543710021321962,82777273087_10158491910973088
407,10/17/2020 18:42,Facebook,1808,9.0,0.00497787610619469,82777273087_10158740988493088
409,2/29/2020 12:22,Facebook,2226,9.0,0.004043126684636119,82777273087_10158050562838088
411,2/22/2020 10:29,Facebook,1897,9.0,0.004744333157617291,82777273087_10158029900048088
412,12/1/2020 16:08,Facebook,1442,29.0,0.02011095700416089,82777273087_10158843935898088
