,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
1079,2020-07-18 10:54:00,Twitter,1132,25.0,0.022084805653710248,1284546991628984320
1087,2020-05-19 15:00:00,Twitter,2211,49.0,0.022161917684305744,1262865847107719168
1088,2020-04-20 17:01:00,Twitter,1618,36.0,0.022249690976514216,1252386832848875525
1090,2020-09-29 20:38:00,Twitter,1707,38.0,0.022261277094317515,1311148295427948545
1108,2020-07-25 05:20:00,Twitter,1665,38.0,0.022822822822822823,1286999647916040193
1113,2020-12-18 16:46:00,Twitter,1089,25.0,0.02295684113865932,1340096011776221184
1120,2020-08-31 19:22:00,Twitter,1249,29.0,0.02321857485988791,1300619894023761921
1126,2020-08-05 16:09:00,Twitter,1154,27.0,0.02339688041594454,1291149239901466632
1133,2020-10-27 17:15:00,Twitter,1309,31.0,0.023682200152788387,1321244057994174467
1141,2020-08-04 11:39:00,Twitter,1090,26.0,0.023853211009174313,1290718905342844932
1142,2020-01-13 19:03:00,Twitter,4062,97.0,0.023879862136878385,1216918627301183489
1148,2020-08-03 09:35:00,Twitter,1203,29.0,0.024106400665004156,1290325349956497410
1150,2020-07-04 10:51:00,Twitter,1990,48.0,0.024120603015075376,1279472807760539650
1161,2020-10-28 17:09:00,Twitter,1023,25.0,0.024437927663734114,1321604920089464834
1162,2020-09-16 15:49:00,Twitter,1144,28.0,0.024475524475524476,1306364512119988224
1165,2020-09-22 20:31:00,Twitter,1873,46.0,0.024559530165509876,1308609795079966720
1168,2020-07-22 15:47:00,Twitter,1583,39.0,0.024636765634870498,1286070274169995266
1172,2020-11-11 18:09:00,Twitter,1494,37.0,0.024765729585006693,1326708547921588227
1175,2020-12-06 07:10:00,Twitter,1125,28.0,0.024888888888888887,1335602431049293824
1181,2020-07-28 20:37:00,Twitter,1202,30.0,0.024958402662229616,1288317668299333632
1184,2020-11-19 12:55:00,Twitter,878,22.0,0.025056947608200455,1329528684903092227
1187,2020-12-23 06:53:00,Twitter,916,23.0,0.025109170305676855,1341758721723158528
1191,2020-08-15 05:03:00,Twitter,1659,42.0,0.02531645569620253,1294605515058827264
1192,2020-06-11 16:12:00,Twitter,1103,28.0,0.025385312783318223,1271218687723347970
1193,2020-09-15 20:32:00,Twitter,1536,39.0,0.025390625,1306073372074348546
1196,2020-03-30 15:00:00,Twitter,1409,36.0,0.0255500354861604,1244746364220780545
1197,2020-11-11 15:50:00,Twitter,1095,28.0,0.025570776255707764,1326673575034691587
1203,2020-08-06 22:08:00,Twitter,1244,32.0,0.02572347266881029,1291601971875635201
1204,2020-09-09 16:07:00,Twitter,891,23.0,0.025813692480359147,1303832314141696002
1205,2020-10-22 17:09:00,Twitter,1154,30.0,0.025996533795493933,1319430601955561473
1206,2020-02-02 06:59:00,Twitter,2499,65.0,0.026010404161664665,1223984172244578304
1214,2020-09-05 05:16:00,Twitter,1219,32.0,0.026251025430680888,1302218931290152960
1219,2020-08-27 10:50:00,Twitter,2127,56.0,0.026328161730136343,1299041506884562945
1220,2020-02-24 20:16:00,Twitter,2838,75.0,0.026427061310782242,1232157357628678144
1223,2020-03-29 08:47:00,Twitter,1623,43.0,0.02649414664202095,1244289983818719233
1229,2020-06-29 21:58:00,Twitter,1723,46.0,0.026697620429483458,1277828718405324801
1230,2020-11-06 16:06:00,Twitter,1348,36.0,0.026706231454005934,1324865738809765889
1233,2020-03-09 09:27:00,Twitter,3895,105.0,0.026957637997432605,1237052355876618243
1245,2020-12-22 14:47:00,Twitter,1553,43.0,0.027688345138441726,1341515695029411849
1247,2020-10-10 18:23:00,Twitter,1081,30.0,0.027752081406105456,1315100565945417728
1250,2020-10-22 07:52:00,Twitter,1148,32.0,0.027874564459930314,1319290430719098883
1253,2020-05-21 10:49:00,Twitter,3367,94.0,0.02791802791802792,1263527254669299714
1256,2020-12-15 16:08:00,Twitter,1037,29.0,0.027965284474445518,1338999294741901317
1270,2020-07-11 11:55:00,Twitter,1262,36.0,0.028526148969889066,1282025627508514817
1278,2020-09-15 20:32:00,Twitter,1286,37.0,0.028771384136858476,1306073328113909760
1283,2020-08-14 19:04:00,Twitter,1519,44.0,0.028966425279789335,1294454775405256708
1285,2020-06-14 10:23:00,Twitter,1616,47.0,0.029084158415841586,1272217997063716865
1293,2020-06-17 16:48:00,Twitter,2335,69.0,0.02955032119914347,1273402056934674432
1294,2020-12-07 06:52:00,Twitter,1082,32.0,0.029574861367837338,1335960273631449090
1296,2020-10-17 05:00:00,Twitter,809,24.0,0.029666254635352288,1317435286146719744
1298,2020-11-30 07:07:00,Twitter,1716,51.0,0.02972027972027972,1333427327565520898
1302,2020-09-15 09:19:00,Twitter,1040,31.0,0.02980769230769231,1305904196076494853
1303,2020-01-14 14:05:00,Twitter,3068,92.0,0.02998696219035202,1217206014941859840
1308,2020-11-20 15:51:00,Twitter,1221,37.0,0.030303030303030304,1329935326954053634
1309,2020-12-18 15:54:00,Twitter,923,28.0,0.030335861321776816,1340082937887387658
1310,2020-11-17 15:47:00,Twitter,1054,32.0,0.030360531309297913,1328847144485318658
1314,2020-11-21 15:55:00,Twitter,1333,41.0,0.03075768942235559,1330298704524439554
1317,2020-03-27 10:30:00,Twitter,1476,46.0,0.03116531165311653,1243591162025381890
1319,2020-08-13 21:50:00,Twitter,1183,37.0,0.03127641589180051,1294134160781582338
1324,2020-12-22 07:12:00,Twitter,1039,33.0,0.03176130895091434,1341401125841473536
1327,2020-10-20 07:49:00,Twitter,1030,33.0,0.03203883495145631,1318564905033830400
1335,2020-04-10 18:48:00,Twitter,1743,57.0,0.03270223752151463,1248789879909158912
1336,2020-12-13 07:10:00,Twitter,977,32.0,0.032753326509723645,1338139136033775619
1337,2020-05-22 16:41:00,Twitter,3753,123.0,0.032773780975219824,1263978201732255744
1339,2020-10-29 13:56:00,Twitter,1246,41.0,0.03290529695024077,1321918768596090880
1343,2020-07-12 11:43:00,Twitter,1297,43.0,0.03315343099460293,1282385030615113734
1347,2020-02-09 16:30:00,Twitter,2879,96.0,0.03334491142757902,1226664608204828672
1349,2020-09-11 09:54:00,Twitter,1017,34.0,0.03343166175024582,1304463227854692353
1351,2020-06-16 09:37:00,Twitter,538,18.0,0.03345724907063197,1272931265256263684
1355,2020-09-04 10:10:00,Twitter,2167,73.0,0.03368712505768343,1301930558197510153
1357,2020-11-01 16:05:00,Twitter,1243,42.0,0.03378921962992759,1323053466961481728
1359,2020-09-21 15:14:00,Twitter,1328,45.0,0.0338855421686747,1308167662925762560
